budget,genres,original_language,release_date,revenue,runtime,vote_average
45000000,Action,en,04/07/2001,141220678,83,5.4
0,Comedy,en,21/01/2001,0,103,6.8
0,Drama,fr,28/06/2000,940944,77,4.2
0,Crime,vi,24/05/2000,0,112,6.7
137000000,Family,en,02/07/2001,85131830,106,5.9
18000000,Adventure,en,13/07/2001,141774679,96,6.2
68000000,Comedy,en,13/07/2001,71069884,124,6.7
0,Action,fr,31/08/2000,28,90,7.5
0,Drama,en,15/06/2001,480811,113,6.7
0,Crime,en,09/11/2001,0,97,6.9
5000000,Drama,en,13/07/2001,5476060,94,6.3
0,Action,en,05/05/2000,21268532,46,7.5
0,Documentary,en,23/02/2001,13651656,38,5
0,Animation,en,20/05/2001,0,0,0
3512454,Comedy,fr,13/03/2013,115860,95,7
93000000,Action,en,18/07/2001,368780809,92,5.7
0,Adventure,en,17/07/2001,0,102,5.5
12000000,Comedy,ja,09/09/2000,15250000,114,6.8
7000000,Crime,en,20/07/2001,0,111,7.1
0,Comedy,en,20/07/2001,0,95,7.4
100000000,Comedy,en,25/07/2001,362211740,119,5.6
0,Thriller,it,03/03/2000,0,114,7
0,Crime,en,27/07/2001,1443067,91,6.6
400000,Comedy,en,26/07/2001,43719,97,6
0,Action,en,27/09/2000,0,93,4.8
5000000,Drama,en,27/07/2001,295206,97,6.4
42000000,Comedy,en,03/08/2001,35402320,118,5.8
37000000,Thriller,en,03/08/2001,165335153,115,6.5
90000000,Comedy,en,03/08/2001,347325802,90,6.4
0,Action,en,03/09/2000,0,97,6
30000000,Action,en,10/08/2001,287553595,108,6
75000000,Comedy,en,07/08/2001,13596911,95,6
0,Adventure,en,02/08/2001,0,101,7.4
35000000,Horror,en,17/08/2001,13678913,94,5.7
0,Action,en,07/03/2001,1051948,95,5.6
3000000,Comedy,en,21/01/2001,0,101,6
7000000,Drama,en,10/08/2001,0,85,7.4
1500000,Drama,en,10/08/2001,373967,100,6.2
0,Horror,en,11/09/2000,0,87,0
57000000,Action,en,17/08/2001,62112895,131,5.6
48000000,Drama,en,30/07/2001,85498534,112,6
0,Adventure,en,05/07/2000,0,113,7
0,Drama,en,08/09/2000,0,94,5
0,Action,en,24/08/2001,0,84,5.1
0,Adventure,en,05/08/2001,0,103,6.5
22000000,Comedy,en,22/08/2001,33788161,104,6.4
28000000,Comedy,en,24/08/2001,14010832,98,4.8
34000000,Action,en,22/08/2001,19693891,108,4.8
0,Drama,en,22/06/2001,850225,106,6
0,Drama,en,25/01/2000,688510,110,7.1
